ticker,sector_etf,sector_name
AAPL,XLK,Technology
MSFT,XLK,Technology
GOOGL,XLK,Technology
GOOG,XLK,Technology
NVDA,XLK,Technology
META,XLK,Technology
TSLA,XLK,Technology
AMD,XLK,Technology
INTC,XLK,Technology
CRM,XLK,Technology
ORCL,XLK,Technology
CSCO,XLK,Technology
AVGO,XLK,Technology
ADBE,XLK,Technology
QCOM,XLK,Technology
TXN,XLK,Technology
VRT,XLK,Technology
JPM,XLF,Financials
BAC,XLF,Financials
WFC,XLF,Financials
GS,XLF,Financials
MS,XLF,Financials
C,XLF,Financials
BLK,XLF,Financials
SCHW,XLF,Financials
AXP,XLF,Financials
USB,XLF,Financials
PNC,XLF,Financials
TFC,XLF,Financials
JNJ,XLV,Healthcare
PFE,XLV,Healthcare
UNH,XLV,Healthcare
MRK,XLV,Healthcare
ABBV,XLV,Healthcare
TMO,XLV,Healthcare
ABT,XLV,Healthcare
DHR,XLV,Healthcare
LLY,XLV,Healthcare
BMY,XLV,Healthcare
AMGN,XLV,Healthcare
CVS,XLV,Healthcare
XOM,XLE,Energy
CVX,XLE,Energy
COP,XLE,Energy
SLB,XLE,Energy
EOG,XLE,Energy
PSX,XLE,Energy
MPC,XLE,Energy
VLO,XLE,Energy
AMZN,XLY,Consumer Discretionary
HD,XLY,Consumer Discretionary
MCD,XLY,Consumer Discretionary
NKE,XLY,Consumer Discretionary
SBUX,XLY,Consumer Discretionary
LOW,XLY,Consumer Discretionary
TGT,XLY,Consumer Discretionary
DIS,XLY,Consumer Discretionary
WMT,XLP,Consumer Staples
PG,XLP,Consumer Staples
KO,XLP,Consumer Staples
PEP,XLP,Consumer Staples
COST,XLP,Consumer Staples
PM,XLP,Consumer Staples
MO,XLP,Consumer Staples
CL,XLP,Consumer Staples
CAT,XLI,Industrials
BA,XLI,Industrials
HON,XLI,Industrials
UNP,XLI,Industrials
UPS,XLI,Industrials
RTX,XLI,Industrials
LMT,XLI,Industrials
GE,XLI,Industrials
NEE,XLU,Utilities
DUK,XLU,Utilities
SO,XLU,Utilities
D,XLU,Utilities
AMT,XLRE,Real Estate
PLD,XLRE,Real Estate
CCI,XLRE,Real Estate
EQIX,XLRE,Real Estate
LIN,XLB,Materials
APD,XLB,Materials
ECL,XLB,Materials
DD,XLB,Materials
NFLX,XLC,Communication Services
CMCSA,XLC,Communication Services
T,XLC,Communication Services
VZ,XLC,Communication Services
SPY,SPY,Market Index
CCI,XLRE,Real Estate
EQIX,XLRE,Real Estate
LIN,XLB,Materials
APD,XLB,Materials
ECL,XLB,Materials
DD,XLB,Materials
NFLX,XLC,Communication Services
CMCSA,XLC,Communication Services
T,XLC,Communication Services
VZ,XLC,Communication Services
SPY,SPY,Market Index
AI,XLK,Technology
AJG,XLF,Financials
ALAB,XLK,Technology
ALNY,XLV,Health Care
ANAB,XLV,Health Care
APH,XLK,Technology
APP,XLK,Technology
ARGX,XLV,Health Care
ARQT,XLV,Health Care
ASND,XLV,Health Care
AXSM,XLV,Health Care
BBVA,XLF,Financials
BSX,XLV,Health Care
CDNS,XLK,Technology
CLS,XLK,Technology
CRWV,XLK,Technology
CTAS,XLI,Industrials
CTRE,XLRE,Real Estate
DDOG,XLK,Technology
DELL,XLK,Technology
FIX,XLI,Industrials
FN,XLK,Technology
GH,XLV,Health Care
GTLB,XLK,Technology
HUBS,XLK,Technology
IBKR,XLF,Financials
IDXX,XLV,Health Care
INSM,XLV,Health Care
KGC,XLB,Materials
KLAC,XLK,Technology
KNSL,XLF,Financials
KRYS,XLV,Health Care
MDB,XLK,Technology
MEDP,XLV,Health Care
MSI,XLK,Technology
NBIX,XLV,Health Care
NET,XLK,Technology
NOW,XLK,Technology
NTAP,XLK,Technology
NTRA,XLV,Health Care
NVT,XLI,Industrials
NXT,XLI,Industrials
ONC,XLV,Health Care
ORLY,XLY,Consumer Discretionary
PLTR,XLK,Technology
QUBT,XLK,Technology
RDDT,XLC,Communication Services
RIGL,XLV,Health Care
SEI,XLF,Financials
SOUN,XLK,Technology
STRL,XLI,Industrials
TARS,XLV,Health Care
TEL,XLK,Technology
TFPM,XLB,Materials
TVTX,XLV,Health Care
WGS,XLV,Health Care
AEM,XLB,Materials
AG,XLB,Materials
AGI,XLB,Materials
AU,XLB,Materials
COCO,XLP,Consumer Staples
CRDO,XLK,Technology
EGO,XLB,Materials
FFTY,XLF,Financials
GFI,XLB,Materials
HL,XLB,Materials
HMY,XLB,Materials
HWM,XLI,Industrials
IAG,XLB,Materials
LMND,XLF,Financials
MIRM,XLV,Health Care
MU,XLK,Technology
NEM,XLB,Materials
PACS,XLV,Health Care
RL,XLY,Consumer Discretionary
SITM,XLK,Technology
SOFI,XLF,Financials
STOK,XLV,Health Care
TMDX,XLV,Health Care
TSM,XLK,Technology
WPM,XLB,Materials
ZYME,XLV,Health Care
ACN,XLK,Technology
ADP,XLI,Industrials
ADSK,XLK,Technology
AEP,XLU,Utilities
AMAT,XLK,Technology
ANSS,XLK,Technology
ARM,XLK,Technology
ASML,XLK,Technology
AZN,XLV,Healthcare
ABNB,XLY,Consumer Discretionary
ADI,XLK,Technology
BIIB,XLV,Healthcare
BK,XLF,Financials
BKNG,XLY,Consumer Discretionary
BKR,XLE,Energy
BRK.B,XLF,Financials
CCEP,XLP,Consumer Staples
CDW,XLK,Technology
CEG,XLU,Utilities
CHTR,XLC,Communication Services
COF,XLF,Financials
COIN,XLF,Financials
CPRT,XLI,Industrials
CRWD,XLK,Technology
CSGP,XLK,Technology
CSX,XLI,Industrials
CTSH,XLK,Technology
DASH,XLY,Consumer Discretionary
DE,XLI,Industrials
DLTR,XLY,Consumer Discretionary
DXCM,XLV,Healthcare
EA,XLC,Communication Services
EMR,XLI,Industrials
EXC,XLU,Utilities
F,XLY,Consumer Discretionary
FANG,XLE,Energy
FAST,XLI,Industrials
FDX,XLI,Industrials
FTNT,XLK,Technology
GD,XLI,Industrials
GFS,XLK,Technology
GILD,XLV,Healthcare
GM,XLY,Consumer Discretionary
IBM,XLK,Technology
ILMN,XLV,Healthcare
INTU,XLK,Technology
ISRG,XLV,Healthcare
KDP,XLP,Consumer Staples
KHC,XLP,Consumer Staples
LRCX,XLK,Technology
LULU,XLY,Consumer Discretionary
MA,XLF,Financials
MAR,XLY,Consumer Discretionary
MCHP,XLK,Technology
MDLZ,XLP,Consumer Staples
MDT,XLV,Healthcare
MELI,XLK,Technology
MET,XLF,Financials
MMM,XLI,Industrials
MNST,XLP,Consumer Staples
MRNA,XLV,Healthcare
MRVL,XLK,Technology
NXPI,XLK,Technology
ODFL,XLI,Industrials
ON,XLK,Technology
PANW,XLK,Technology
PAYX,XLK,Technology
PCAR,XLI,Industrials
PDD,XLY,Consumer Discretionary
PM,XLP,Consumer Staples
PYPL,XLK,Technology
REGN,XLV,Healthcare
ROP,XLK,Technology
ROST,XLY,Consumer Discretionary
RTX,XLI,Industrials
SMCI,XLK,Technology
SNPS,XLK,Technology
SPG,XLRE,Real Estate
TEAM,XLK,Technology
TGT,XLY,Consumer Discretionary
TMUS,XLC,Communication Services
TTD,XLC,Communication Services
TTWO,XLC,Communication Services
V,XLK,Technology
VRSK,XLI,Industrials
VRTX,XLV,Healthcare
WBD,XLC,Communication Services
WDAY,XLK,Technology
XEL,XLU,Utilities
ZS,XLK,Technology
